,T_cells,B_cell,Fibroblasts,Pro-B_cell_CD34+,NK_cell,Monocyte,Pre-B_cell_CD34-,DC,HSC_CD34+,Hepatocytes,Neutrophils,HSC_-G-CSF
0,0.15932268201452224,0.029963274718512813,0.20520960968123317,0.08853435554143652,0.0628253581171228,0.01024970340455592,0.03441301879020235,0.033897226474357396,0.020559617029492678,0.3219349414970682,0.029076288715979014,0.0040139240155169275
1,0.02108995848974355,0.09888515228332449,0.11777822926439889,0.04120412921359209,0.058760059913774254,0.057510026362865826,0.03297060578924884,0.0015466077114303055,0.06767704245653186,0.2715476397732038,0.11615312228722123,0.11487742645466492
2,0.0915916138799651,0.03418287670807952,0.06211572475542076,0.17556168081763826,0.009167743533020675,0.2519706253675937,0.058247786063637425,0.022263133625065074,0.02631053137733356,0.07840698172359047,0.12746831079520138,0.06271299135345419
3,0.07077279986790343,0.03945924252579889,0.09334574247307142,0.0038458119390310692,0.11303682598988667,0.14056995721816815,0.029800102519357607,0.07473272565581102,0.08629269216334176,0.13823536083194957,0.07947924454488696,0.13042949427079345
4,0.013905499035065364,0.04388974761449181,0.0512417670988865,0.03429149475331864,0.035554539993866964,0.03776444583265022,0.043306990865933676,0.07698852138213702,0.10014836838613109,0.30172526276043643,0.17053551543682224,0.09064784684025995
5,0.09609000687801658,0.06783640563352761,0.14312855554832335,0.3349533682888414,0.017627626036835313,0.05294865508605348,0.003931337708819321,0.01219211779535473,0.033535766535747295,0.09697584287748277,0.06150883794597971,0.07927147966501857
6,0.15079957110061318,0.10464739785485316,0.07826034651145833,0.07050141313137585,0.08118045331543634,0.0888679054895003,0.010801802937482433,0.013632349915826666,0.023433580581613784,0.10332983319315513,0.24913689966586747,0.02540844630281745
7,0.020327822414811444,0.03554574545979701,0.08735661959819747,0.054987964767480385,0.028160406087067675,0.01381349405301717,0.08451094640238352,0.19447344999111435,0.12873076112088344,0.09067262039089208,0.2400633290295239,0.021356840684831437
8,0.19283260828838053,0.0034146650818669935,0.026585413345165138,0.0015002520174052715,0.33968068692484443,0.06508990875844015,0.007740587228040797,0.01564018611962321,0.17943542846823482,0.03284231863597264,0.07711718815783254,0.05812075697419353
9,0.03526185071414639,0.013547475846290112,0.11575213025488312,0.2295401685680545,0.17617409908448162,0.005666171890148025,0.008489042931716581,0.07158452390147957,0.00535735321160894,0.0924832920223902,0.1375379693805846,0.1086059221942164
10,0.006847909006001397,0.025056053168786542,0.08997400920902113,0.12744931193495349,0.3528792033876129,0.05482770044478198,0.06453952669041883,0.0479503344817008,0.09415598923726136,0.019900871010446432,0.01520617050114096,0.10121292092787426
11,0.040356632616994736,0.02310967389050779,0.052365201539566315,0.064967024016178,0.11396236016005787,0.17517003218113827,0.0006829996690721658,0.04476590790477571,0.12276585235949022,0.04206723022186451,0.07092324643747652,0.248863839002878
12,0.04079922116978151,0.2654192031476281,0.10638804457994651,0.001079897707640008,0.05937052158820972,0.21344866496795523,0.01499117613899589,0.07691850344208156,0.05876549539799288,0.02920647058080193,0.05945526473220922,0.07415753654675733
13,0.08192909446490224,0.015246300181017835,0.20716033165919714,0.03446940856746905,0.031272267173100145,0.2650959343612853,0.03390742301943853,0.0282174033200877,0.07212568832801766,0.07409803223678026,0.0026319902798717966,0.15384612640883238
14,0.06257215654970463,0.14588268315615743,0.08381228203104665,0.06466324193885212,0.041524999435049365,0.009658170624275136,0.009305780777281428,0.011231004529718447,0.023819333002818015,0.2317897272662449,0.2995156847332834,0.016224935955568582
15,0.03147711109100965,0.23422812963942363,0.10545108562934073,0.03917395033869836,0.022165304365143735,0.0339486059458,0.04623184161056365,0.20751798812781533,0.12471915968720552,0.089810908727635,0.05175310679786015,0.01352280803950408
16,0.03442274869122465,0.07434675441405149,0.0005454890084987053,0.0718353359085024,0.057300936388340086,0.13123430712200732,0.019777101291322232,0.01957325022880342,0.016888759706100466,0.05424615011376636,0.37616814507361035,0.14366102205377257
17,0.21628662704540186,0.002316675218449077,0.10341212407601334,0.150183147593578,0.08840454645180884,0.11520122063411074,0.061491612484526566,0.0440257611120688,0.0006952014526900331,0.02908539823664613,0.06599149439187503,0.12290619130283154
18,0.030556317564140702,0.2885115090387118,0.004115121907318496,0.13809028704660767,0.027881245563017437,0.11456486475649634,0.04425715089214954,0.010462454112349808,0.02517564670135336,0.27679351127441,0.014634294980757998,0.02495759616268693
19,0.07649174767474208,0.04832664421157379,0.17333841583372359,0.07335809328911115,0.024324613397276484,0.21419867348203975,0.1402976576637497,0.0951876885624555,0.043306700893621784,0.018856383447044937,0.07843197764152053,0.013881403903140674
20,0.14995507799211852,0.07173808306060833,0.0696676165473051,0.012051281168680266,0.03489713649043145,0.02101948415397308,0.09004909078677645,0.31060863356747737,0.019006270780544687,0.07174533116142724,0.10027938024601867,0.04898261404463877
